"Caste","Number_of_CMs"
"Brahmin",99
"Rajput",52
"ST",41
"Kayastha",28
"Muslim",28
"Vaishya",24
"Maratha",19
"Jaat",18
"Reddy",17
"Jat Sikh",16
"Kshatriya Maratha",16
"Meitei",16
"Scheduled Tribe",16
"Yadav",16
"Christian",15
"Lingayat",15
"Brahman",14
"Angami",11
"Kurmi",11
"Nair",10
"Patidar",10
"Kamma",8
"Rai",8
"Vanniyar",8
"Vokalliga",8
"Khatri",7
"Tangkhul Naga",7
"Adi",6
"Ahom",6
"Ao Naga",6
"Isai Vellalar",6
"Kalita",6
"Reddiar",6
"Sherdukpens",6
"Jain",5
"Nadar",5
"Banjara(VJNT,vimukta jati nomadic tribes)",4
"Bishnoi",4
"Ezhava",4
"Ghanchi-Teli",4
"Jaatav",4
"Kirar",4
"Kshatriya(Thakore-Koli)",4
"Marar",4
"Mudaliyar",4
"Sikh",4
"Baniya",3
"Jatt-Sikh",3
"Khandayat",3
"Koch",3
"Lodh",3
"Mali",3
"Menon-Nair",3
"Mukkulathor",3
"Munda",3
"Paswan",3
"Velama",3
"Arasu",2
"Aroras Punjabi",2
"BHUMIHAR",2
"Bhandari",2
"Galo",2
"JAIN",2
"Jadhav Maratha",2
"Kuruba",2
"Maratha Scindia",2
"Mishmi",2
"Mudaliar",2
"Naai-Thakur-Hajaam",2
"Nyishi",2
"Saini",2
"Sonowal Kachari",2
"Sumi",2
"Tamang",2
"Vaidya",2
"Vaishya Jain",2
"Zeliangrong",2
"Chakhesang Naga",1
"Chamar",1
"Devadiga",1
"Dhor",1
"Gounder",1
"Gurung",1
"Gwala",1
"Idiga",1
"Khandayat Kshatriya",1
"Kodava",1
"Koeri",1
"Kshatriya",1
"Lepcha",1
"Limboo",1
"Mala",1
"Monpa",1
"Musahar",1
"Naidu",1
"Pilamar",1
"Ramdasia Sikh",1
"Ramgarhia Sikh",1
"Scheduled Caste",1
"Scheduled Tribe-Santhal",1
"Sema",1
"Sindhi Kshatriya",1
"Vaishya Baniya",1
"Vellalar christian",1
