"cm","State","From","To","age_appointment"
"Bidhan Chandra Roy","West Bengal",1957-04-06,1962-04-02,74.81
"Amarinder Singh","Punjab",2017-03-16,2021-09-19,75.07
"Narayan Datt Tiwari","Uttarakhand",2002-03-02,2007-03-07,76.42
"E. K. Nayanar","Kerala",1996-05-20,2001-05-16,76.5
"Tarun Gogoi","Assam",2011-05-19,2016-05-15,76.65
"Jyoti Basu","West Bengal",1991-06-19,1996-05-15,77
"Pinarayi Vijayan","Kerala",2021-05-20,2026-05-13,77.22
"Dasarath Debbarma","Tripura",1993-04-10,1998-03-10,77.24
"Nripen Chakraborty","Tripura",1983-01-07,1988-02-04,77.81
"Virbhadra Singh","Himachal Pradesh",2012-12-25,2017-12-26,78.56
"Mufti Mohammad Sayeed","Jammu and Kashmir",2015-03-01,2016-01-07,79.19
"Parkash Singh Badal","Punjab",2007-03-01,2012-03-13,79.28
"Shürhozelie Liezietsu","Nagaland",2017-02-22,2017-07-18,80.31
"Tanguturi Prakasam","Andhra Pradesh",1953-10-01,1954-11-15,81.16
"Jyoti Basu","West Bengal",1996-05-16,2000-11-05,81.91
"M. Karunanidhi","Tamil Nadu",2006-05-13,2011-05-15,82
"Biswanath Das","Odisha",1971-04-03,1972-06-13,82.12
"V. S. Achuthanandan","Kerala",2006-05-18,2011-05-17,82.63
"Parkash Singh Badal","Punjab",2012-03-14,2017-03-15,84.32
"Bidhan Chandra Roy","West Bengal",1962-04-03,1962-07-08,89.81
