"cm","State","From","To","party","Caste","Category"
"Anwara Taimur","Assam",1980-12-06,1981-06-30,"INC","Muslim","Muslim"
"Rabri Devi","Bihar",1997-07-25,1999-02-11,"RJD","Yadav","OBC"
"Rabri Devi","Bihar",1999-03-09,2000-03-02,"RJD","Yadav","OBC"
"Rabri Devi","Bihar",2000-03-11,2005-03-06,"RJD","Yadav","OBC"
"Atishi Marlina","Delhi",2024-09-21,2025-02-19,"AAP","Rajput","GEN"
"Rekha Gupta","Delhi",2025-02-20,2026-06-15,"BJP","Vaishya","GEN"
"Sheila Dikshit","Delhi",2003-12-01,2008-10-28,"INC","Brahmin","GEN"
"Sheila Dikshit","Delhi",1998-12-03,2003-11-30,"INC","Brahmin","GEN"
"Sheila Dikshit","Delhi",2008-10-29,2013-12-27,"INC","Brahmin","GEN"
"Shashikala Kakodkar","Goa",1973-08-12,1977-06-06,"MGP","Kshatriya Maratha","GEN"
"Shashikala Kakodkar","Goa",1977-06-07,1979-04-27,"MGP","Kshatriya Maratha","GEN"
"Anandiben Patel","Gujarat",2014-05-22,2016-08-06,"BJP","Patidar","GEN"
"Mahbooba Mufti","Jammu and Kashmir",2016-04-04,2018-06-20,"PDP","Muslim","Muslim"
"Nandini Satpathy","Odisha",1972-06-14,1973-03-05,"INC","Brahmin","GEN"
"Nandini Satpathy","Odisha",1974-03-06,1976-12-16,"INC","Brahmin","GEN"
"Vasundhara Raje Scindia","Rajasthan",2013-12-13,2018-12-16,"BJP","Maratha Scindia","GEN"
"Vasundhara Raje Scindia","Rajasthan",2003-12-08,2008-12-11,"BJP","Maratha Scindia","GEN"
"J. Jayalalithaa","Tamil Nadu",1991-06-24,1996-05-12,"AIADMK","Brahmin","GEN"
"J. Jayalalithaa","Tamil Nadu",2001-05-14,2001-09-20,"AIADMK","Brahmin","GEN"
"J. Jayalalithaa","Tamil Nadu",2002-03-02,2006-05-12,"AIADMK","Brahmin","GEN"
"J. Jayalalithaa","Tamil Nadu",2011-05-16,2014-09-28,"AIADMK","Brahmin","GEN"
"J. Jayalalithaa","Tamil Nadu",2015-05-23,2016-05-23,"AIADMK","Brahmin","GEN"
"J. Jayalalithaa","Tamil Nadu",2016-05-24,2016-12-05,"AIADMK","Brahmin","GEN"
"Janaki Ramachandran","Tamil Nadu",1988-01-07,1988-01-30,"AIADMK","Brahmin","GEN"
"Mayawati","Uttar Pradesh",1995-06-03,1995-10-18,"BSP","Jaatav","SC"
"Mayawati","Uttar Pradesh",1997-03-21,1997-09-20,"BSP","Jaatav","SC"
"Mayawati","Uttar Pradesh",2002-05-03,2003-08-28,"BSP","Jaatav","SC"
"Mayawati","Uttar Pradesh",2007-05-13,2012-03-14,"BSP","Jaatav","SC"
"Mamata Banerjee","West Bengal",2011-05-20,2016-05-25,"TMC","Brahmin","GEN"
"Mamata Banerjee","West Bengal",2016-05-26,2021-05-04,"TMC","Brahmin","GEN"
"Mamata Banerjee","West Bengal",2021-05-05,2026-05-08,"TMC","Brahmin","GEN"
