"cm","Number_of_terms","Rank"
"A. K. Antony",3,6
"AJ John Anapaarambil",1,8
"Abdul Gafoor",1,8
"Abdul Rehman Antulay",1,8
"Ajit Jogi",1,8
"Ajoy Kumar Mukherjee",3,6
"Akhilesh Yadav",1,8
"Amarinder Singh",2,7
"Amarsinh Chaudhary",1,8
"Anandiben Patel",1,8
"Anwara Taimur",1,8
"Arjun Munda",3,6
"Arjun Singh",3,6
"Arvind Kejriwal",3,6
"Ashok Chavan",2,7
"Ashok Gehlot",3,6
"Atishi Marlina",1,8
"B. B. Lyngdoh",4,5
"B. D. Jatti",1,8
"B. P. Mandal",1,8
"B. S. Yeddyurappa",4,5
"BS Sachar",2,7
"Babasaheb Bhosale",1,8
"Babu Banarsi Das",1,8
"Babubhai J. Patel",2,7
"Babulal Gaur",1,8
"Babulal Marandi",1,8
"Balwantrai Mehta",1,8
"Banarsi Das Gupta",2,7
"Bansi Lal",5,4
"Barkatullah Khan",1,8
"Basavaraj Bommai",1,8
"Beant Singh",1,8
"Bezawada Gopala Reddy",1,8
"Bhagat Singh Koshyari",1,8
"Bhagwant Mann",1,8
"Bhagwantrao Mandloi",2,7
"Bhagwat Dayal Sharma",1,8
"Bhagwat Jha Azad",1,8
"Bhairon Singh Shekhawat",3,6
"Bhajan Lal",4,5
"Bhajan Lal Sharma",1,8
"Bhavanam Venkatarami Reddy",1,8
"Bhim Bahadur Gurung",1,8
"Bhola Paswan Shastri",3,6
"Bhumidhar Barman",1,8
"Bhupendra Patel",2,7
"Bhupesh Baghel",1,8
"Bhupinder Singh Hooda",2,7
"Bhuwan Chandra Khanduri",2,7
"Bidhan Chandra Roy",3,6
"Biju Patnaik",2,7
"Bimala Prasad Chaliha",3,6
"Binayak Acharya",1,8
"Bindeshwari Dubey",1,8
"Binodanand Jha",1,8
"Biplab Kumar Deb",1,8
"Biren Mitra",1,8
"Bishnu Ram Medhi",2,7
"Biswanath Das",1,8
"Brish Bhan",1,8
"Buddhadeb Bhattacharya",3,6
"Burgula Ramakrishna Rao",1,8
"C Joseph Vijay",1,8
"C. Achutha Menon",2,7
"C. Chhunga",1,8
"C. H. Mohammed Koya",1,8
"C. N. Annadurai",2,7
"C. Rajagopalachari",1,8
"CM Poonacha",1,8
"Champai Soren",1,8
"Chandra Bhanu Gupta",4,5
"Chandrashekhar Singh",1,8
"Charan Singh",2,7
"Charanjit Singh Channi",1,8
"Chaudhary Brahm Prakash",1,8
"Chaudhary Devi Lal",2,7
"Chhabildas Mehta",1,8
"Chimanbhai Patel",3,6
"Churchill Alemao",1,8
"Conrad Sangma",2,7
"D. D. Lapang",5,4
"D. Devaraj Urs",2,7
"D. V. Sadananda Gowda",1,8
"DK Sivakumar",1,8
"Damodaram Sanjivayya",1,8
"Darbara Singh",1,8
"Daroga Prasad Rai",1,8
"Darwin Diengdoh Pugh",1,8
"Dasarath Debbarma",1,8
"Dayanand Bandodkar",3,6
"Deep Narayan Singh",1,8
"Devendra Fadnavis",3,6
"Dharam Singh",1,8
"Digambar Kamat",1,8
"Digvijay Singh",2,7
"Dilip Parikh",1,8
"Donkupar Roy",1,8
"Dorjee Khandu",1,8
"Dwarka Prasad Mishra",2,7
"E. K. Mawlong",1,8
"E. K. Nayanar",3,6
"E. M. S. Namboodiripad",2,7
"Edappadi K. Palaniswami",1,8
"Edouard Goubert",1,8
"Eknath Shinde",1,8
"Farooq Abdullah",5,4
"Flinder Anderson Khonglam",1,8
"Francisco Sardinha",1,8
"Gegong Apang",6,3
"Ghanshyam Oza",1,8
"Ghulam Mohammad Shah",1,8
"Ghulam Mohammed Sadiq",2,7
"Ghulam Nabi Azad",1,8
"Gian Singh Rarewala",1,8
"Giani Gurmukh Singh Musafir",1,8
"Giridhar Gamang",1,8
"Golap Borbora",1,8
"Gopi Chand Bhargava",1,8
"Govind Ballabh Pant",1,8
"Govind Narayan Singh",1,8
"Gurmukh Nihal Singh",1,8
"Gurnam Singh",2,7
"H. D. Deve Gowda",1,8
"H. D. Kumaraswamy",2,7
"Harcharan Singh Brar",1,8
"Harekrushna Mahatab",3,6
"Hari Dev Joshi",3,6
"Haribhau Upadhyaya",1,8
"Harihar Singh",1,8
"Harish Rawat",3,6
"Hemananda Biswal",2,7
"Hemant Soren",4,5
"Hemwati Nandan Bahuguna",2,7
"Himanta Biswa Sarma",2,7
"Hira Lal Devpura",1,8
"Hitendra Kanaiyalal",2,7
"Hiteswar Saikia",2,7
"Hokishe Sema",2,7
"Hukam Singh",1,8
"J. Dringbell Rymbai",1,8
"J. H. Patel",1,8
"J. Jayalalithaa",6,3
"Jagadish Shettar",1,8
"Jagannath Mishra",3,6
"Jagannath Pahadia",1,8
"Jai Narayan Vyas",1,8
"Jai Ram Thakur",1,8
"Jalagam Vengala Rao",1,8
"Janaki Ballabh Patnaik",3,6
"Janaki Ramachandran",1,8
"Jarbom Gamlin",1,8
"Jitan Ram Manjhi",1,8
"Jivraj Narayan Mehta",2,7
"Jogendra Nath Hazarika",1,8
"John Bosco Jasokie",2,7
"Jyoti Basu",5,4
"K Siddaramaiah",2,7
"K. B. Sahay",1,8
"K. Kamaraj",4,5
"K. Karunakaran",4,5
"K. L. Chishi",1,8
"K. Rosaiah",1,8
"Kadilal Manjappa",1,8
"Kailash Chandra Joshi",1,8
"Kailash Nath Katju",2,7
"Kalikho Pul",1,8
"Kalvakuntla Chandrashekar Rao",2,7
"Kalyan Singh",2,7
"Kamal Nath",1,8
"Kamlapati Tripathi",1,8
"Karpoori Thakur",2,7
"Kasu Brahmananda Reddy",2,7
