"party","Number of CMs"
"AAP",5
"AC",1
"ADSF",1
"AGP",2
"AIADMK",16
"AINRC",3
"ANC",1
"APHLC",5
"BJD",5
"BJP",95
"BKD",2
"BSP",4
"Bangla Congress",2
"CFD",3
"CPI",1
"CPM",23
"DMK",14
"GPC",1
"GRCP",1
"HPU",1
"HVP",2
"INC",367
"INC(U)",1
"IND",5
"INLD",5
"IUML",1
"JD(S)",2
"JD(U)",11
"JKD",1
"JKNC",2
"JMM",8
"Janata Dal",8
"Janata Party",22
"LLI",2
"MGP",5
"MHU",1
"MNF",5
"MPP",5
"MSCP",1
"MU",1
"MUF",1
"NC",7
"NDPP",2
"NNDP",2
"NNO",3
"NPC",1
"NPF",6
"NPP",2
"PDP",3
"PJP",1
"PPA",3
"PSP",1
"RJD",3
"SAD",7
"SDF",5
"SHS",4
"SJP",1
"SKM",2
"SNC",1
"SP",4
"SSP",3
"Samata Party",1
"Socialist Party",1
"Swatantra Party",1
"TDP",8
"TMC",3
"TRS",2
"TVK",1
"UDF",2
"UDFP",2
"UDP",3
"VHP",1
"YSRCP",1
"ZPM",1
